wave,survey_date,period,best_party_code_raw,best_party_raw,best_party,best_party_type,vote_party_code_raw,vote_party_raw,vote_party,vote_party_type,estimate_pct,margin_error_pp,value_status,source_table
2011M05,2011-05-01,2011-05,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,SD,SD,SD,parliamentary_party,2.5,1.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,blankt,blankt,BLANK_VOTE,blank_vote,6.7,1.7,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,c,C,C,parliamentary_party,1.9,0.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,kd,KD,KD,parliamentary_party,0.9,0.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,l,L,L,parliamentary_party,2.0,0.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,m,M,M,parliamentary_party,8.6,1.5,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,mp,MP,MP,parliamentary_party,2.2,0.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,s,S,S,parliamentary_party,9.7,1.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,v,V,V,parliamentary_party,0.6,0.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,63.7,3.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,övr,övriga,OTHER,other_party,0.9,0.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,kd,KD,KD,parliamentary_party,SD,SD,SD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,kd,KD,KD,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,3.3,3.3,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,kd,KD,KD,parliamentary_party,c,C,C,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,kd,KD,KD,parliamentary_party,kd,KD,KD,parliamentary_party,77.5,7.1,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,kd,KD,KD,parliamentary_party,l,L,L,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,kd,KD,KD,parliamentary_party,m,M,M,parliamentary_party,3.7,2.9,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,kd,KD,KD,parliamentary_party,mp,MP,MP,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,kd,KD,KD,parliamentary_party,s,S,S,parliamentary_party,4.1,3.7,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,kd,KD,KD,parliamentary_party,v,V,V,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,kd,KD,KD,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,10.7,5.2,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,kd,KD,KD,parliamentary_party,övr,övriga,OTHER,other_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,l,L,L,parliamentary_party,SD,SD,SD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,l,L,L,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,l,L,L,parliamentary_party,c,C,C,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,l,L,L,parliamentary_party,kd,KD,KD,parliamentary_party,1.5,1.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,l,L,L,parliamentary_party,l,L,L,parliamentary_party,77.5,4.9,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,l,L,L,parliamentary_party,m,M,M,parliamentary_party,7.9,3.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,l,L,L,parliamentary_party,mp,MP,MP,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,l,L,L,parliamentary_party,s,S,S,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,l,L,L,parliamentary_party,v,V,V,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,l,L,L,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,10.3,3.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,l,L,L,parliamentary_party,övr,övriga,OTHER,other_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,m,M,M,parliamentary_party,SD,SD,SD,parliamentary_party,0.9,0.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,m,M,M,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,0.6,0.5,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,m,M,M,parliamentary_party,c,C,C,parliamentary_party,0.3,0.3,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,m,M,M,parliamentary_party,kd,KD,KD,parliamentary_party,1.3,0.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,m,M,M,parliamentary_party,l,L,L,parliamentary_party,1.0,0.5,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,m,M,M,parliamentary_party,m,M,M,parliamentary_party,89.5,1.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,m,M,M,parliamentary_party,mp,MP,MP,parliamentary_party,0.3,0.3,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,m,M,M,parliamentary_party,s,S,S,parliamentary_party,0.7,0.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,m,M,M,parliamentary_party,v,V,V,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,m,M,M,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,5.3,1.2,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,m,M,M,parliamentary_party,övr,övriga,OTHER,other_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,mp,MP,MP,parliamentary_party,SD,SD,SD,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,mp,MP,MP,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,1.8,1.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,mp,MP,MP,parliamentary_party,c,C,C,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,mp,MP,MP,parliamentary_party,kd,KD,KD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,mp,MP,MP,parliamentary_party,l,L,L,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,mp,MP,MP,parliamentary_party,m,M,M,parliamentary_party,1.1,0.9,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,mp,MP,MP,parliamentary_party,mp,MP,MP,parliamentary_party,78.3,4.1,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,mp,MP,MP,parliamentary_party,s,S,S,parliamentary_party,6.4,2.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,mp,MP,MP,parliamentary_party,v,V,V,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,mp,MP,MP,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,9.4,2.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,mp,MP,MP,parliamentary_party,övr,övriga,OTHER,other_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,s,S,S,parliamentary_party,SD,SD,SD,parliamentary_party,0.9,0.5,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,s,S,S,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,1.0,0.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,s,S,S,parliamentary_party,c,C,C,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,s,S,S,parliamentary_party,kd,KD,KD,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,s,S,S,parliamentary_party,l,L,L,parliamentary_party,0.3,0.3,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,s,S,S,parliamentary_party,m,M,M,parliamentary_party,1.3,0.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,s,S,S,parliamentary_party,mp,MP,MP,parliamentary_party,1.5,0.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,s,S,S,parliamentary_party,s,S,S,parliamentary_party,86.8,1.7,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,s,S,S,parliamentary_party,v,V,V,parliamentary_party,0.8,0.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,s,S,S,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,7.0,1.3,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,s,S,S,parliamentary_party,övr,övriga,OTHER,other_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,v,V,V,parliamentary_party,SD,SD,SD,parliamentary_party,1.9,1.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,v,V,V,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,v,V,V,parliamentary_party,c,C,C,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,v,V,V,parliamentary_party,kd,KD,KD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,v,V,V,parliamentary_party,l,L,L,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,v,V,V,parliamentary_party,m,M,M,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,v,V,V,parliamentary_party,mp,MP,MP,parliamentary_party,4.5,2.7,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,v,V,V,parliamentary_party,s,S,S,parliamentary_party,7.9,3.5,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,v,V,V,parliamentary_party,v,V,V,parliamentary_party,77.5,5.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,v,V,V,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,6.4,3.3,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,v,V,V,parliamentary_party,övr,övriga,OTHER,other_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,övr,övriga,OTHER,other_party,SD,SD,SD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,övr,övriga,OTHER,other_party,blankt,blankt,BLANK_VOTE,blank_vote,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,övr,övriga,OTHER,other_party,c,C,C,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,övr,övriga,OTHER,other_party,kd,KD,KD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,övr,övriga,OTHER,other_party,l,L,L,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,övr,övriga,OTHER,other_party,m,M,M,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,övr,övriga,OTHER,other_party,mp,MP,MP,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,övr,övriga,OTHER,other_party,s,S,S,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,övr,övriga,OTHER,other_party,v,V,V,parliamentary_party,7.8,7.7,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,övr,övriga,OTHER,other_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,9.1,8.7,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M05,2011-05-01,2011-05,övr,övriga,OTHER,other_party,övr,övriga,OTHER,other_party,70.1,13.2,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,SD,SD,SD,parliamentary_party,SD,SD,SD,parliamentary_party,91.6,4.7,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,SD,SD,SD,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,SD,SD,SD,parliamentary_party,c,C,C,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,SD,SD,SD,parliamentary_party,kd,KD,KD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,SD,SD,SD,parliamentary_party,l,L,L,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,SD,SD,SD,parliamentary_party,m,M,M,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,SD,SD,SD,parliamentary_party,mp,MP,MP,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,SD,SD,SD,parliamentary_party,s,S,S,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,SD,SD,SD,parliamentary_party,v,V,V,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,SD,SD,SD,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,4.9,3.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,SD,SD,SD,parliamentary_party,övr,övriga,OTHER,other_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,c,C,C,parliamentary_party,SD,SD,SD,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,c,C,C,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,c,C,C,parliamentary_party,c,C,C,parliamentary_party,83.0,4.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,c,C,C,parliamentary_party,kd,KD,KD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,c,C,C,parliamentary_party,l,L,L,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,c,C,C,parliamentary_party,m,M,M,parliamentary_party,4.9,2.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,c,C,C,parliamentary_party,mp,MP,MP,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,c,C,C,parliamentary_party,s,S,S,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,c,C,C,parliamentary_party,v,V,V,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,c,C,C,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,8.5,3.5,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,c,C,C,parliamentary_party,övr,övriga,OTHER,other_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,SD,SD,SD,parliamentary_party,4.4,0.5,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,blankt,blankt,BLANK_VOTE,blank_vote,3.7,0.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,c,C,C,parliamentary_party,4.1,0.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,kd,KD,KD,parliamentary_party,2.8,0.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,l,L,L,parliamentary_party,4.2,0.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,m,M,M,parliamentary_party,26.0,0.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,mp,MP,MP,parliamentary_party,8.8,0.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,s,S,S,parliamentary_party,18.9,0.9,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,v,V,V,parliamentary_party,4.3,0.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,22.1,1.1,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,övr,övriga,OTHER,other_party,0.8,0.2,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,SD,SD,SD,parliamentary_party,2.6,1.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,blankt,blankt,BLANK_VOTE,blank_vote,11.8,2.2,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,c,C,C,parliamentary_party,1.1,0.5,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,kd,KD,KD,parliamentary_party,0.7,0.5,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,l,L,L,parliamentary_party,1.1,0.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,m,M,M,parliamentary_party,7.3,1.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,mp,MP,MP,parliamentary_party,4.1,1.2,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,s,S,S,parliamentary_party,6.3,1.4,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,v,V,V,parliamentary_party,1.1,0.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,63.2,3.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,ingen sympati/vet ej,ingen sympati/vet ej,NO_SYMPATHY_OR_DONT_KNOW,no_sympathy,övr,övriga,OTHER,other_party,0.8,0.6,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,kd,KD,KD,parliamentary_party,SD,SD,SD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,kd,KD,KD,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,kd,KD,KD,parliamentary_party,c,C,C,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,kd,KD,KD,parliamentary_party,kd,KD,KD,parliamentary_party,75.9,7.3,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,kd,KD,KD,parliamentary_party,l,L,L,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,kd,KD,KD,parliamentary_party,m,M,M,parliamentary_party,7.9,4.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,kd,KD,KD,parliamentary_party,mp,MP,MP,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,kd,KD,KD,parliamentary_party,s,S,S,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,kd,KD,KD,parliamentary_party,v,V,V,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,kd,KD,KD,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,9.5,4.8,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,kd,KD,KD,parliamentary_party,övr,övriga,OTHER,other_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,l,L,L,parliamentary_party,SD,SD,SD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,l,L,L,parliamentary_party,blankt,blankt,BLANK_VOTE,blank_vote,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
2011M11,2011-11-01,2011-11,l,L,L,parliamentary_party,c,C,C,parliamentary_party,,,suppressed,ME/ME0201/ME0201A/Rostningssympati170
